nameWithOwner,name,url,stars,primary_language,mergedPRsCount,closedPRsCount,totalPRs
codecrafters-io/build-your-own-x,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,499654,Markdown,155,188,343
sindresorhus/awesome,awesome,https://github.com/sindresorhus/awesome,463625,,696,1677,2373
freeCodeCamp/freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,444311,TypeScript,28270,16646,44916
public-apis/public-apis,public-apis,https://github.com/public-apis/public-apis,432973,Python,1897,1371,3268
EbookFoundation/free-programming-books,free-programming-books,https://github.com/EbookFoundation/free-programming-books,387872,Python,7364,4264,11628
openclaw/openclaw,openclaw,https://github.com/openclaw/openclaw,369343,TypeScript,7255,31486,38741
nilbuild/developer-roadmap,developer-roadmap,https://github.com/nilbuild/developer-roadmap,354367,TypeScript,4185,1814,5999
donnemartin/system-design-primer,system-design-primer,https://github.com/donnemartin/system-design-primer,347321,Python,210,162,372
jwasham/coding-interview-university,coding-interview-university,https://github.com/jwasham/coding-interview-university,346333,,415,598,1013
vinta/awesome-python,awesome-python,https://github.com/vinta/awesome-python,296364,Python,692,1710,2402
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,290744,,2395,648,3043
996icu/996.ICU,996.ICU,https://github.com/996icu/996.ICU,276143,,1072,919,1991
practical-tutorials/project-based-learning,project-based-learning,https://github.com/practical-tutorials/project-based-learning,265060,,182,201,383
facebook/react,react,https://github.com/facebook/react,244863,JavaScript,12835,6176,19011
TheAlgorithms/Python,Python,https://github.com/TheAlgorithms/Python,220837,Python,3075,8326,11401
trimstray/the-book-of-secret-knowledge,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,219109,,122,120,242
vuejs/vue,vue,https://github.com/vuejs/vue,209758,TypeScript,1136,1234,2370
ossu/computer-science,computer-science,https://github.com/ossu/computer-science,203619,HTML,313,200,513
trekhleb/javascript-algorithms,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195937,JavaScript,303,271,574
tensorflow/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,195029,C++,44936,24084,69020
ultraworkers/claw-code,claw-code,https://github.com/ultraworkers/claw-code,190531,Rust,51,98,149
n8n-io/n8n,n8n,https://github.com/n8n-io/n8n,186972,TypeScript,15827,3973,19800
ohmyzsh/ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,186793,Shell,3565,4089,7654
microsoft/vscode,vscode,https://github.com/microsoft/vscode,184648,TypeScript,46783,8004,54787
getify/You-Dont-Know-JS,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184437,,370,527,897
CyC2018/CS-Notes,CS-Notes,https://github.com/CyC2018/CS-Notes,184317,,374,188,562
Significant-Gravitas/AutoGPT,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,184055,Python,4363,3427,7790
jackfrued/Python-100-Days,Python-100-Days,https://github.com/jackfrued/Python-100-Days,182213,Jupyter Notebook,13,203,216
obra/superpowers,superpowers,https://github.com/obra/superpowers,181633,Shell,76,491,567
flutter/flutter,flutter,https://github.com/flutter/flutter,176210,Dart,47979,22962,70941
affaan-m/everything-claude-code,everything-claude-code,https://github.com/affaan-m/everything-claude-code,175176,JavaScript,414,587,1001
twbs/bootstrap,bootstrap,https://github.com/twbs/bootstrap,174226,MDX,9258,6777,16035
github/gitignore,gitignore,https://github.com/github/gitignore,173738,,1772,2902,4674
avelino/awesome-go,awesome-go,https://github.com/avelino/awesome-go,172036,Go,3719,1416,5135
ollama/ollama,ollama,https://github.com/ollama/ollama,170926,Go,3286,1335,4621
AUTOMATIC1111/stable-diffusion-webui,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,162760,Python,1876,1394,3270
f/prompts.chat,prompts.chat,https://github.com/f/prompts.chat,161765,HTML,228,623,851
yt-dlp/yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,160941,Python,3267,916,4183
jlevy/the-art-of-command-line,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,160853,,317,158,475
huggingface/transformers,transformers,https://github.com/huggingface/transformers,160355,Python,19318,5622,24940
anomalyco/opencode,opencode,https://github.com/anomalyco/opencode,156318,TypeScript,4094,5045,9139
Snailclimb/JavaGuide,JavaGuide,https://github.com/Snailclimb/JavaGuide,155460,Java,1244,335,1579
airbnb/javascript,javascript,https://github.com/airbnb/javascript,148113,JavaScript,822,815,1637
langflow-ai/langflow,langflow,https://github.com/langflow-ai/langflow,147819,Python,6279,2074,8353
langgenius/dify,dify,https://github.com/langgenius/dify,140486,TypeScript,11032,2032,13064
ytdl-org/youtube-dl,youtube-dl,https://github.com/ytdl-org/youtube-dl,140217,Python,1646,2867,4513
Genymobile/scrcpy,scrcpy,https://github.com/Genymobile/scrcpy,139556,C,141,441,582
yangshun/tech-interview-handbook,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,139381,TypeScript,493,94,587
vercel/next.js,next.js,https://github.com/vercel/next.js,139311,JavaScript,26909,8071,34980
NousResearch/hermes-agent,hermes-agent,https://github.com/NousResearch/hermes-agent,137111,Python,3713,7101,10814
x1xhlol/system-prompts-and-models-of-ai-tools,system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,136859,,47,90,137
langchain-ai/langchain,langchain,https://github.com/langchain-ai/langchain,136039,Python,16513,5535,22048
open-webui/open-webui,open-webui,https://github.com/open-webui/open-webui,135913,Python,3535,3858,7393
golang/go,go,https://github.com/golang/go,133764,Go,1,4645,4646
labuladong/fucking-algorithm,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,133399,Markdown,244,265,509
microsoft/PowerToys,PowerToys,https://github.com/microsoft/PowerToys,132915,C#,6566,1042,7608
anthropics/skills,skills,https://github.com/anthropics/skills,129612,Python,32,169,201
Chalarangelo/30-seconds-of-code,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,127726,JavaScript,843,818,1661
krahets/hello-algo,hello-algo,https://github.com/krahets/hello-algo,125972,Java,989,248,1237
facebook/react-native,react-native,https://github.com/facebook/react-native,125754,C++,977,25497,26474
excalidraw/excalidraw,excalidraw,https://github.com/excalidraw/excalidraw,122690,TypeScript,3879,1229,5108
kubernetes/kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,122106,Go,64601,23750,88351
microsoft/markitdown,markitdown,https://github.com/microsoft/markitdown,121427,Python,175,144,319
ripienaar/free-for-dev,free-for-dev,https://github.com/ripienaar/free-for-dev,121401,HTML,2951,1207,4158
anthropics/claude-code,claude-code,https://github.com/anthropics/claude-code,121253,Shell,152,308,460
electron/electron,electron,https://github.com/electron/electron,121162,C++,25642,3220,28862
nodejs/node,node,https://github.com/nodejs/node,117076,JavaScript,12301,27195,39496
justjavac/free-programming-books-zh_CN,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,116846,,282,158,440
clash-verge-rev/clash-verge-rev,clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,116367,TypeScript,848,230,1078
firecrawl/firecrawl,firecrawl,https://github.com/firecrawl/firecrawl,116364,TypeScript,1583,717,2300
iptv-org/iptv,iptv,https://github.com/iptv-org/iptv,116000,TypeScript,6874,962,7836
shadcn-ui/ui,ui,https://github.com/shadcn-ui/ui,113740,TypeScript,1191,1895,3086
rustdesk/rustdesk,rustdesk,https://github.com/rustdesk/rustdesk,113663,Rust,4019,1038,5057
d3/d3,d3,https://github.com/d3/d3,112854,Shell,494,707,1201
rust-lang/rust,rust,https://github.com/rust-lang/rust,112603,Rust,71020,21287,92307
mrdoob/three.js,three.js,https://github.com/mrdoob/three.js,112352,JavaScript,15484,4066,19550
Comfy-Org/ComfyUI,ComfyUI,https://github.com/Comfy-Org/ComfyUI,111781,Python,2535,1022,3557
Hack-with-Github/Awesome-Hacking,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,111772,,38,102,140
godotengine/godot,godot,https://github.com/godotengine/godot,110404,C++,42237,8747,50984
microsoft/generative-ai-for-beginners,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,110312,Jupyter Notebook,561,233,794
Shubhamsaboo/awesome-llm-apps,awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,109123,Python,180,340,520
axios/axios,axios,https://github.com/axios/axios,109037,JavaScript,1328,1143,2471
