nameWithOwner,name,url,stars,primary_language,mergedPRsCount,closedPRsCount,totalPRs
Shubhamsaboo/awesome-llm-apps,awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,109123,Python,180,340,520
axios/axios,axios,https://github.com/axios/axios,109037,JavaScript,1328,1143,2471
ggml-org/llama.cpp,llama.cpp,https://github.com/ggml-org/llama.cpp,108824,C++,8315,2141,10456
microsoft/TypeScript,TypeScript,https://github.com/microsoft/TypeScript,108775,TypeScript,14877,4244,19121
denoland/deno,deno,https://github.com/denoland/deno,106608,Rust,15100,2892,17992
tauri-apps/tauri,tauri,https://github.com/tauri-apps/tauri,106306,Rust,5489,883,6372
fatedier/frp,frp,https://github.com/fatedier/frp,106301,Go,786,358,1144
papers-we-love/papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,105945,Shell,441,90,531
goldbergyoni/nodebestpractices,nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,105256,Dockerfile,766,165,931
2dust/v2rayN,v2rayN,https://github.com/2dust/v2rayN,104786,C#,471,291,762
jaywcjlove/awesome-mac,awesome-mac,https://github.com/jaywcjlove/awesome-mac,103510,Swift,1146,149,1295
deepseek-ai/DeepSeek-V3,DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,103424,Python,25,111,136
facebook/create-react-app,create-react-app,https://github.com/facebook/create-react-app,103393,JavaScript,1949,1922,3871
google-gemini/gemini-cli,gemini-cli,https://github.com/google-gemini/gemini-cli,103341,TypeScript,6343,4642,10985
microsoft/terminal,terminal,https://github.com/microsoft/terminal,103053,C++,4447,667,5114
supabase/supabase,supabase,https://github.com/supabase/supabase,101998,TypeScript,16798,3348,20146
angular/angular,angular,https://github.com/angular/angular,100063,TypeScript,6303,29552,35855
immich-app/immich,immich,https://github.com/immich-app/immich,99887,TypeScript,9193,1716,10909
Anduin2017/HowToCook,HowToCook,https://github.com/Anduin2017/HowToCook,99784,JavaScript,625,233,858
pytorch/pytorch,pytorch,https://github.com/pytorch/pytorch,99725,Python,6524,114913,121437
neovim/neovim,neovim,https://github.com/neovim/neovim,99445,Vim Script,18630,5281,23911
openai/whisper,whisper,https://github.com/openai/whisper,99071,Python,121,121,242
mtdvio/every-programmer-should-know,every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,98891,,110,57,167
mui/material-ui,material-ui,https://github.com/mui/material-ui,98286,JavaScript,21862,4634,26496
fastapi/fastapi,fastapi,https://github.com/fastapi/fastapi,97983,Python,3269,2262,5531
ant-design/ant-design,ant-design,https://github.com/ant-design/ant-design,97948,TypeScript,17477,4574,22051
nvbn/thefuck,thefuck,https://github.com/nvbn/thefuck,96808,Python,482,137,619
microsoft/Web-Dev-For-Beginners,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,95719,JavaScript,689,469,1158
tailwindlabs/tailwindcss,tailwindcss,https://github.com/tailwindlabs/tailwindcss,94867,TypeScript,3366,867,4233
msitarzewski/agency-agents,agency-agents,https://github.com/msitarzewski/agency-agents,94653,Shell,119,139,258
ryanmcdermott/clean-code-javascript,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,94301,JavaScript,149,111,260
puppeteer/puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,94266,TypeScript,5953,1412,7365
iluwatar/java-design-patterns,java-design-patterns,https://github.com/iluwatar/java-design-patterns,93973,Java,1520,814,2334
florinpop17/app-ideas,app-ideas,https://github.com/florinpop17/app-ideas,93748,,151,253,404
nvm-sh/nvm,nvm,https://github.com/nvm-sh/nvm,93256,Shell,751,410,1161
github/spec-kit,spec-kit,https://github.com/github/spec-kit,93091,Python,510,353,863
hacksider/Deep-Live-Cam,Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,92718,Python,111,205,316
browser-use/browser-use,browser-use,https://github.com/browser-use/browser-use,92697,Python,1762,989,2751
rasbt/LLMs-from-scratch,LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,92097,Jupyter Notebook,493,75,568
garrytan/gstack,gstack,https://github.com/garrytan/gstack,90941,TypeScript,227,441,668
ruanyf/weekly,weekly,https://github.com/ruanyf/weekly,90419,,110,40,150
PanJiaChen/vue-element-admin,vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,90272,Vue,311,179,490
storybookjs/storybook,storybook,https://github.com/storybookjs/storybook,89866,TypeScript,12578,3159,15737
