nameWithOwner,name,url,stars,primary_language,mergedPRsCount,closedPRsCount,totalPRs
anomalyco/opencode,opencode,https://github.com/anomalyco/opencode,156318,TypeScript,4094,5045,9139
Snailclimb/JavaGuide,JavaGuide,https://github.com/Snailclimb/JavaGuide,155460,Java,1244,335,1579
airbnb/javascript,javascript,https://github.com/airbnb/javascript,148113,JavaScript,822,815,1637
langflow-ai/langflow,langflow,https://github.com/langflow-ai/langflow,147819,Python,6279,2074,8353
langgenius/dify,dify,https://github.com/langgenius/dify,140486,TypeScript,11032,2032,13064
ytdl-org/youtube-dl,youtube-dl,https://github.com/ytdl-org/youtube-dl,140217,Python,1646,2867,4513
Genymobile/scrcpy,scrcpy,https://github.com/Genymobile/scrcpy,139556,C,141,441,582
yangshun/tech-interview-handbook,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,139381,TypeScript,493,94,587
vercel/next.js,next.js,https://github.com/vercel/next.js,139311,JavaScript,26909,8071,34980
NousResearch/hermes-agent,hermes-agent,https://github.com/NousResearch/hermes-agent,137111,Python,3713,7101,10814
x1xhlol/system-prompts-and-models-of-ai-tools,system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,136859,,47,90,137
langchain-ai/langchain,langchain,https://github.com/langchain-ai/langchain,136039,Python,16513,5535,22048
open-webui/open-webui,open-webui,https://github.com/open-webui/open-webui,135913,Python,3535,3858,7393
golang/go,go,https://github.com/golang/go,133764,Go,1,4645,4646
labuladong/fucking-algorithm,fucking-algorithm,https://github.com/labuladong/fucking-algorithm,133399,Markdown,244,265,509
microsoft/PowerToys,PowerToys,https://github.com/microsoft/PowerToys,132915,C#,6566,1042,7608
anthropics/skills,skills,https://github.com/anthropics/skills,129612,Python,32,169,201
Chalarangelo/30-seconds-of-code,30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,127726,JavaScript,843,818,1661
krahets/hello-algo,hello-algo,https://github.com/krahets/hello-algo,125972,Java,989,248,1237
facebook/react-native,react-native,https://github.com/facebook/react-native,125754,C++,977,25497,26474
excalidraw/excalidraw,excalidraw,https://github.com/excalidraw/excalidraw,122690,TypeScript,3879,1229,5108
kubernetes/kubernetes,kubernetes,https://github.com/kubernetes/kubernetes,122106,Go,64601,23750,88351
microsoft/markitdown,markitdown,https://github.com/microsoft/markitdown,121427,Python,175,144,319
ripienaar/free-for-dev,free-for-dev,https://github.com/ripienaar/free-for-dev,121401,HTML,2951,1207,4158
anthropics/claude-code,claude-code,https://github.com/anthropics/claude-code,121253,Shell,152,308,460
electron/electron,electron,https://github.com/electron/electron,121162,C++,25642,3220,28862
nodejs/node,node,https://github.com/nodejs/node,117076,JavaScript,12301,27195,39496
justjavac/free-programming-books-zh_CN,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,116846,,282,158,440
clash-verge-rev/clash-verge-rev,clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,116367,TypeScript,848,230,1078
firecrawl/firecrawl,firecrawl,https://github.com/firecrawl/firecrawl,116364,TypeScript,1583,717,2300
iptv-org/iptv,iptv,https://github.com/iptv-org/iptv,116000,TypeScript,6874,962,7836
shadcn-ui/ui,ui,https://github.com/shadcn-ui/ui,113740,TypeScript,1191,1895,3086
rustdesk/rustdesk,rustdesk,https://github.com/rustdesk/rustdesk,113663,Rust,4019,1038,5057
d3/d3,d3,https://github.com/d3/d3,112854,Shell,494,707,1201
rust-lang/rust,rust,https://github.com/rust-lang/rust,112603,Rust,71020,21287,92307
mrdoob/three.js,three.js,https://github.com/mrdoob/three.js,112352,JavaScript,15484,4066,19550
Comfy-Org/ComfyUI,ComfyUI,https://github.com/Comfy-Org/ComfyUI,111781,Python,2535,1022,3557
Hack-with-Github/Awesome-Hacking,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,111772,,38,102,140
godotengine/godot,godot,https://github.com/godotengine/godot,110404,C++,42237,8747,50984
microsoft/generative-ai-for-beginners,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,110312,Jupyter Notebook,561,233,794
