nameWithOwner,name,url,stars,primary_language,mergedPRsCount,closedPRsCount,totalPRs
pytorch/pytorch,pytorch,https://github.com/pytorch/pytorch,99725,Python,6524,114913,121437
neovim/neovim,neovim,https://github.com/neovim/neovim,99445,Vim Script,18630,5281,23911
openai/whisper,whisper,https://github.com/openai/whisper,99071,Python,121,121,242
mtdvio/every-programmer-should-know,every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,98891,,110,57,167
mui/material-ui,material-ui,https://github.com/mui/material-ui,98286,JavaScript,21862,4634,26496
fastapi/fastapi,fastapi,https://github.com/fastapi/fastapi,97983,Python,3269,2262,5531
ant-design/ant-design,ant-design,https://github.com/ant-design/ant-design,97948,TypeScript,17477,4574,22051
nvbn/thefuck,thefuck,https://github.com/nvbn/thefuck,96808,Python,482,137,619
microsoft/Web-Dev-For-Beginners,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,95719,JavaScript,689,469,1158
tailwindlabs/tailwindcss,tailwindcss,https://github.com/tailwindlabs/tailwindcss,94867,TypeScript,3366,867,4233
msitarzewski/agency-agents,agency-agents,https://github.com/msitarzewski/agency-agents,94653,Shell,119,139,258
ryanmcdermott/clean-code-javascript,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,94301,JavaScript,149,111,260
puppeteer/puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,94266,TypeScript,5953,1412,7365
iluwatar/java-design-patterns,java-design-patterns,https://github.com/iluwatar/java-design-patterns,93973,Java,1520,814,2334
florinpop17/app-ideas,app-ideas,https://github.com/florinpop17/app-ideas,93748,,151,253,404
nvm-sh/nvm,nvm,https://github.com/nvm-sh/nvm,93256,Shell,751,410,1161
github/spec-kit,spec-kit,https://github.com/github/spec-kit,93091,Python,510,353,863
hacksider/Deep-Live-Cam,Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,92718,Python,111,205,316
browser-use/browser-use,browser-use,https://github.com/browser-use/browser-use,92697,Python,1762,989,2751
rasbt/LLMs-from-scratch,LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,92097,Jupyter Notebook,493,75,568
garrytan/gstack,gstack,https://github.com/garrytan/gstack,90941,TypeScript,227,441,668
ruanyf/weekly,weekly,https://github.com/ruanyf/weekly,90419,,110,40,150
PanJiaChen/vue-element-admin,vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,90272,Vue,311,179,490
storybookjs/storybook,storybook,https://github.com/storybookjs/storybook,89866,TypeScript,12578,3159,15737
oven-sh/bun,bun,https://github.com/oven-sh/bun,89712,Zig,7752,3248,11000
bitcoin/bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,89030,C++,16421,7673,24094
gin-gonic/gin,gin,https://github.com/gin-gonic/gin,88446,Go,1231,860,2091
microsoft/playwright,playwright,https://github.com/microsoft/playwright,88188,TypeScript,16908,2800,19708
gohugoio/hugo,hugo,https://github.com/gohugoio/hugo,87950,Go,3340,3122,6462
ChatGPTNextWeb/NextChat,NextChat,https://github.com/ChatGPTNextWeb/NextChat,87919,TypeScript,893,1659,2552
mermaid-js/mermaid,mermaid,https://github.com/mermaid-js/mermaid,87862,TypeScript,2686,614,3300
django/django,django,https://github.com/django/django,87431,Python,10478,10275,20753
opencv/opencv,opencv,https://github.com/opencv/opencv,87368,C++,13638,3388,17026
home-assistant/core,core,https://github.com/home-assistant/core,86943,Python,85272,13181,98453
3b1b/manim,manim,https://github.com/3b1b/manim,86643,Python,665,253,918
sveltejs/svelte,svelte,https://github.com/sveltejs/svelte,86487,JavaScript,6645,1431,8076
punkpeye/awesome-mcp-servers,awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,86413,,2253,2119,4372
louislam/uptime-kuma,uptime-kuma,https://github.com/louislam/uptime-kuma,86346,JavaScript,1734,708,2442
microsoft/ML-For-Beginners,ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,85681,Jupyter Notebook,471,186,657
MunGell/awesome-for-beginners,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,85330,,482,1185,1667
modelcontextprotocol/servers,servers,https://github.com/modelcontextprotocol/servers,85202,TypeScript,1198,1633,2831
astral-sh/uv,uv,https://github.com/astral-sh/uv,84496,Rust,8979,969,9948
laravel/laravel,laravel,https://github.com/laravel/laravel,84187,Blade,1690,3452,5142
syncthing/syncthing,syncthing,https://github.com/syncthing/syncthing,83651,Go,2868,1818,4686
macrozheng/mall,mall,https://github.com/macrozheng/mall,83557,Java,1,152,153
realworld-apps/realworld,realworld,https://github.com/realworld-apps/realworld,83386,TypeScript,434,483,917
sherlock-project/sherlock,sherlock,https://github.com/sherlock-project/sherlock,83030,Python,743,602,1345
animate-css/animate.css,animate.css,https://github.com/animate-css/animate.css,82513,CSS,315,586,901
DopplerHQ/awesome-interview-questions,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,82409,,175,36,211
bregman-arie/devops-exercises,devops-exercises,https://github.com/bregman-arie/devops-exercises,82252,Python,309,116,425
